"cultivo","cve_ent","entidad","cve_mun","municipio","productores","escenario_marginacion","escenario_precio","latitud","longitud","im","gm","imn"
"Frijol","21","Puebla","001","Acajete",54,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",17,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",9,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",11,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",379,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",51,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",0,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",46,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",13,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",202,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","20","Oaxaca","001","Abejones",37,97035.5,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","21","Puebla","001","Acajete",86,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",22,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",1032,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",382,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","16","Michoacán de Ocampo","001","Acuitzio",2,0.0,0.0,19.4738,-101.342,55.5208,"Bajo",0.869379
"Frijol","17","Morelos","001","Amacuzac",134,0.0,0.0,18.6,-99.3695,55.5939,"Bajo",0.870522
"Frijol","12","Guerrero","001","Acapulco de Juárez",139,0.0,0.0,16.8619,-99.8866,56.4366,"Bajo",0.883719
"Frijol","21","Puebla","001","Acajete",112,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","16","Michoacán de Ocampo","001","Acuitzio",6,0.0,0.0,19.4738,-101.342,55.5208,"Bajo",0.869379
"Frijol","17","Morelos","001","Amacuzac",129,0.0,0.0,18.6,-99.3695,55.5939,"Bajo",0.870522
"Frijol","20","Oaxaca","001","Abejones",417,246261.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","13","Hidalgo","001","Acatlán",10,0.0,0.0,20.1458,-98.4384,53.8667,"Medio",0.843478
"Frijol","07","Chiapas","001","Acacoyagua",3663,0.0,0.0,15.341,-92.6746,53.2908,"Medio",0.83446
"Frijol","21","Puebla","001","Acajete",97,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",13,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",209,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",420,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","31","Yucatán","001","Abalá",141,0.0,0.0,20.6476,-89.6809,52.0644,"Alto",0.815256
"Frijol","21","Puebla","001","Acajete",893,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","20","Oaxaca","001","Abejones",3,0.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",2,175.45,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",97,267220.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",51,26361.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",119,195502.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","13","Hidalgo","001","Acatlán",207,0.0,0.0,20.1458,-98.4384,53.8667,"Medio",0.843478
"Frijol","28","Tamaulipas","001","Abasolo",12,0.0,0.0,24.0608,-98.3743,56.328,"Bajo",0.882019
"Frijol","07","Chiapas","001","Acacoyagua",1862,0.0,0.0,15.341,-92.6746,53.2908,"Medio",0.83446
"Frijol","31","Yucatán","001","Abalá",25,0.0,0.0,20.6476,-89.6809,52.0644,"Alto",0.815256
"Frijol","31","Yucatán","001","Abalá",66,0.0,0.0,20.6476,-89.6809,52.0644,"Alto",0.815256
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",55,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","21","Puebla","001","Acajete",475,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",593,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","15","México","001","Acambay de Ruíz Castañeda",199,0.0,0.0,19.9562,-99.844,52.775,"Medio",0.826384
"Frijol","13","Hidalgo","001","Acatlán",16,0.0,0.0,20.1458,-98.4384,53.8667,"Medio",0.843478
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",742,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","20","Oaxaca","001","Abejones",926,1111600.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",43,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","20","Oaxaca","001","Abejones",4,0.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","13","Hidalgo","001","Acatlán",117,0.0,0.0,20.1458,-98.4384,53.8667,"Medio",0.843478
"Frijol","21","Puebla","001","Acajete",992,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","20","Oaxaca","001","Abejones",42,107338.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",40,43717.5,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",618,1396120.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",218,490258.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
