cultivo,cve_ent,entidad,cve_mun,municipio,productores,escenario_precio,escenario_marginacion,latitud,longitud,im,gm
Frijol,07,Chiapas,001,Acacoyagua,5739,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,28,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,23,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,241,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,488,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,209,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,7143,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,498,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,1518,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,323,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,105,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,3663,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,728,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,354,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,1352,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,122,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,165,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,248,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,39,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,1954,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,472,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,70,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,994,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,1707,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,803,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,1653,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,673,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,78,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,985,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,626,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,916,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,456,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,321,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,147,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,4,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,11,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,255,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,319,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,419,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,251,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,3182,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,1209,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,4243,2.1,5.1,15.341,-92.6746,53.2908,Medio
